Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
112,JUAN REY,2024,federal:house,CA,37,NO PARTY PREFERENCE,unknown,Lost,unknown,0.21702618,False,https://electjuanrey.com/,,,,,,
113,LINDA T. SáNCHEZ,2024,federal:house,CA,38,DEMOCRAT,unknown,Won,unknown,0.598380737,False,https://voteforlinda.com,https://www.facebook.com/voteforlinda,https://x.com/LindaTSanchez,,,,
114,ERIC J. CHING,2024,federal:house,CA,38,REPUBLICAN,unknown,Lost,unknown,0.401619263,False,,,,,,,
115,MARK TAKANO,2024,federal:house,CA,39,DEMOCRAT,unknown,Won,unknown,0.566885831,True,http://marktakano.com,,,,,,
116,DAVID SERPA,2024,federal:house,CA,39,REPUBLICAN,unknown,Lost,unknown,0.433114169,True,https://davidserpaforcongress.com/,https://www.facebook.com/DavidSerpaforThePeople/,https://x.com/Serpa4Congress,https://www.instagram.com/serpaforcongress,,https://www.facebook.com/DavidSerpaHomes/,https://www.linkedin.com/in/david-serpa-07b7bb9/
117,YOUNG KIM,2024,federal:house,CA,40,REPUBLICAN,unknown,Won,unknown,0.552603386,True,http://youngkimforcongress.com,,,,,,
118,JOE KERR,2024,federal:house,CA,40,DEMOCRAT,unknown,Lost,unknown,0.447396614,True,https://www.joekerrforcongress.com,https://www.facebook.com/joekerrforcongress,https://x.com/joekerrcongress,https://www.instagram.com/joekerrforcongress,,https://www.facebook.com/JoeKerrOC,https://www.linkedin.com/in/joe-kerr-308314114/
119,KEN CALVERT,2024,federal:house,CA,41,REPUBLICAN,unknown,Won,unknown,0.516909535,True,http://calvertforcongress.com,,,,,,
120,WILL ROLLINS,2024,federal:house,CA,41,DEMOCRAT,unknown,Lost,unknown,0.483090465,True,https://willrollinsforcongress.com,https://www.facebook.com/WillRollinsForCongress,https://x.com/WillRollinsCA,https://www.instagram.com/willrollinsca/,,,https://www.linkedin.com/in/will-rollins-14853646/
121,ROBERT GARCIA,2024,federal:house,CA,42,DEMOCRAT,unknown,Won,unknown,0.68141358,True,http://robertgarcia.com,,,,,,
122,JOHN BRISCOE,2024,federal:house,CA,42,REPUBLICAN,unknown,Lost,unknown,0.31858642,True,https://johnbriscoe.us/,,,,,,
123,MAXINE WATERS,2024,federal:house,CA,43,DEMOCRAT,unknown,Won,unknown,0.750731598,True,http://waters.house.gov,,,,,,
